"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5529","6950","4332","4360","2163","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","987","2469","988","1720","1062","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","173","1181","214","633","541","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.9","35.5","22.8","39.4","49.1","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","3.1","17.0","4.9","14.5","25.0","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5562","6960","4408","4404","2192","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","990","2470","1013","1724","1067","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","173","1182","227","635","541","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.8","35.5","23.0","39.1","48.7","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","3.1","17.0","5.1","14.4","24.7","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","47942","13500","23102","14250","12955","3648","905","542","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","10150","5058","9488","5376","5866","1651","218","251","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >12 months","Australian state and territory court authorities and departments (unpublished)","no.","596","3570","2455","1209","1510","493","74","95","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","21.2","37.5","41.1","37.7","45.3","45.3","24.1","46.3","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","1.2","26.4","10.6","8.5","11.7","13.5","8.2","17.5","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","4142","3514","2055","908","453","84","90","92","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1438","988","816","397","61","31","26","14","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >12 months","Australian state and territory court authorities and departments (unpublished)","no.","106","357","308","128","5","16","6","3","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","34.7","28.1","39.7","43.7","13.5","36.9","28.9","15.2","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","2.6","10.2","15.0","14.1","1.1","19.0","6.7","3.3","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","903",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","143",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","31",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","15.8",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","3.4",""
